序号,日期,价格,涨跌
1,2013-9-27,17000,0
2,2013-9-26,17000,0
3,2013-9-25,17000,0
4,2013-9-24,17000,0
5,2013-9-23,17000,+50
6,2013-9-22,16950,0
7,2013-9-18,16950,0
8,2013-9-17,16950,0
9,2013-9-16,16950,0
1,2013-11-6,17854,29
2,2013-11-5,17825,13
3,2013-11-4,17812,20
4,2013-11-1,17792,6
5,2013-10-31,17786,25
6,2013-10-30,17761,-5
7,2013-10-29,17766,22
8,2013-10-28,17744,32
9,2013-10-25,17712,37
10,2013-10-24,17675,24
11,2013-10-23,17651,36
12,2013-10-22,17615,19
13,2013-10-21,17596,14
14,2013-10-18,17582,25
1,2013-11-26,18087,7
2,2013-11-25,18080,38
3,2013-11-22,18042,15
4,2013-11-21,18027,-2
5,2013-11-20,18029,-11
6,2013-11-19,18040,-10
7,2013-11-18,18050,50
8,2013-11-15,18000,17
9,2013-11-14,17983,5
10,2013-11-13,17978,9
11,2013-11-12,17969,25
12,2013-11-11,17944,25
13,2013-11-8,17919,41
14,2013-11-7,17878,24
1,2013-12-16,17953,-11
2,2013-12-13,17964,-14
3,2013-12-12,17978,0
4,2013-12-11,17978,-15
5,2013-12-10,17993,-13
6,2013-12-9,18006,-13
7,2013-12-6,18019,-14
8,2013-12-5,18033,-1
9,2013-12-4,18034,-5
10,2013-12-3,18039,0
11,2013-12-2,18039,-3
12,2013-11-29,18042,-7
13,2013-11-28,18049,-11
14,2013-11-27,18060,-27
1,2014-1-3,17990,2
2,2014-1-2,17988,3
3,2013-12-31,17985,1
4,2013-12-30,17984,4
5,2013-12-27,17980,0
6,2013-12-26,17980,7
7,2013-12-25,17973,6
8,2013-12-24,17967,-3
9,2013-12-23,17970,2
10,2013-12-20,17968,3
11,2013-12-19,17965,7
12,2013-12-18,17958,5
13,2013-12-17,17953,0
1,2014-1-24,17915,2
2,2014-1-23,17913,0
3,2014-1-22,17913,13
4,2014-1-21,17900,7
5,2014-1-20,17893,-12
6,2014-1-17,17905,13
7,2014-1-16,17892,-7
8,2014-1-15,17899,-5
9,2014-1-14,17904,-7
10,2014-1-13,17911,-22
11,2014-1-10,17933,-26
12,2014-1-9,17959,-2
13,2014-1-8,17961,-22
14,2014-1-7,17983,3
15,2014-1-6,17980,-10
1,2014-2-14,17913,-11
2,2014-2-13,17924,-8
3,2014-2-12,17932,-5
4,2014-2-11,17937,9
5,2014-2-10,17928,3
6,2014-2-8,17925,-1
7,2014-2-7,17926,0
8,2014-1-30,17926,2
9,2014-1-29,17924,3
10,2014-1-28,17921,0
11,2014-1-27,17921,3
12,2014-1-26,17918,3
1,2014-3-6,17871,-2
2,2014-3-5,17873,-6
3,2014-3-4,17879,-6
4,2014-3-3,17885,-1
5,2014-2-28,17886,-3
6,2014-2-27,17889,-1
7,2014-2-26,17890,-2
8,2014-2-25,17892,0
9,2014-2-24,17892,-8
10,2014-2-21,17900,0
11,2014-2-20,17900,-16
12,2014-2-19,17916,-2
13,2014-2-18,17918,-3
14,2014-2-17,17921,8
1,2014-3-26,17730,-9
2,2014-3-25,17739,-7
