序号,日期,价格,涨跌
1,1999-10-30,,
1,1999-11-30,,
1,1999-12-30,,
1,2000-1-30,,
1,2000-2-29,,
1,2000-3-30,,
1,2000-4-30,,
1,2000-6-30,,
1,2000-7-30,,
1,2000-8-30,,
1,2000-9-30,,
1,2000-10-30,,
1,2000-11-30,,
1,2000-12-30,,
1,2001-1-30,,
1,2001-2-28,,
1,2001-3-30,,
1,2001-4-30,,
1,2001-7-30,,
1,2001-9-30,,
1,2001-10-30,,
1,2001-11-30,,
1,2001-12-30,,
1,2002-1-30,,
1,2002-2-28,,
1,2002-3-30,,
1,2002-4-30,,
1,2002-6-17,7752,102
2,2002-6-10,,
3,2002-5-30,,
1,2002-7-1,8047,151
2,2002-6-24,7896,144
1,2002-7-22,8427,130
2,2002-7-15,8297,153
3,2002-7-8,8144,97
1,2002-8-12,9728,510
2,2002-8-5,9218,444
3,2002-7-29,8774,347
1,2002-9-2,9532,-426
2,2002-8-26,9958,-131
3,2002-8-19,10089,361
1,2002-9-23,8993,50
2,2002-9-16,8943,-462
3,2002-9-9,9405,-127
1,2002-10-14,9247,176
2,2002-9-30,9071,78
1,2002-11-4,10328,163
2,2002-10-28,10165,309
3,2002-10-21,9856,609
1,2002-11-18,10387,58
2,2002-11-11,10329,1
1,2002-12-9,10430,42
2,2002-12-2,10388,1
3,2002-11-25,10387,0
1,2003-1-20,10536,109
2,2003-1-13,10427,11
3,2003-1-6,10416,3
1,2003-1-27,10711,175
1,2003-4-7,12900,-73
2,2003-3-31,12973,55
1,2003-4-28,12658,-120
2,2003-4-21,12778,-4
3,2003-4-14,12782,-118
1,2003-5-19,11882,-57
2,2003-5-14,11939,-719
1,2003-6-9,12042,225
2,2003-6-2,11729,94
3,2003-5-26,11635,-247
1,2003-7-2,12409,10
2,2003-6-30,12399,110
3,2003-6-25,12289,127
4,2003-6-23,12162,120
5,2003-6-16,11817,88
1,2003-7-21,12479,-42
2,2003-7-16,12521,2
3,2003-7-14,12519,74
4,2003-7-9,12445,-50
5,2003-7-7,12495,86
1,2003-8-11,12395,-30
2,2003-8-6,12425,-26
3,2003-8-4,12451,-5
4,2003-7-30,12456,-9
5,2003-7-28,12465,9
6,2003-7-23,12456,-23
1,2003-10-8,13945,593
2,2003-9-29,13352,251
3,2003-9-24,13101,32
4,2003-9-22,13069,122
1,2003-10-29,16485,220
2,2003-10-27,16265,89
3,2003-10-22,16176,-55
4,2003-10-20,16231,663
5,2003-10-15,15568,997
6,2003-10-13,14571,626
1,2003-11-19,16342,-54
