序号,日期,价格,涨跌
1,2005-9-9,55.02,-0.75
2,2005-9-8,55.97,1.06
3,2005-9-7,54.87,1.65
4,2005-9-6,53.42,0.00
5,2005-9-5,53.42,-0.08
6,2005-9-2,53.52,0.08
7,2005-9-1,53.32,-1.02
8,2005-8-31,54.07,1.15
9,2005-8-30,52.92,0.70
10,2005-8-29,52.22,0.32
11,2005-8-26,51.82,-0.34
12,2005-8-25,52.32,-0.32
13,2005-8-24,52.67,0.60
14,2005-8-23,52.07,0.31
15,2005-8-22,51.42,0.45
1,2005-9-29,57.47,-0.20
2,2005-9-28,57.67,2.55
3,2005-9-27,54.82,0.33
4,2005-9-26,54.57,-0.78
5,2005-9-23,55.32,0.05
6,2005-9-22,55.27,1.40
7,2005-9-21,53.77,-1.24
8,2005-9-20,55.17,2.11
9,2005-9-19,52.92,0.25
10,2005-9-16,52.67,-0.46
11,2005-9-15,53.07,0.13
12,2005-9-14,52.92,-1.13
13,2005-9-13,54.07,-0.57
14,2005-9-12,54.72,-0.36
1,2005-10-19,60.98,2.58
2,2005-10-18,61.22,0.41
3,2005-10-17,61.32,0.64
4,2005-10-14,60.52,0.96
5,2005-10-13,59.57,0.26
6,2005-10-12,58.72,-0.51
7,2005-10-11,59.22,1.55
8,2005-10-8,57.22,-0.75
9,2005-9-30,57.97,0.50
1,2005-11-8,58.07,-0.18
2,2005-11-7,58.32,-0.40
3,2005-11-4,58.67,-0.10
4,2005-11-3,58.62,0.19
5,2005-11-2,58.32,-0.18
6,2005-11-1,58.82,-0.16
7,2005-10-31,58.32,-1.06
8,2005-10-28,60.47,-0.92
9,2005-10-27,60.87,0.73
10,2005-10-26,59.62,0.16
11,2005-10-25,59.87,0.69
12,2005-10-24,58.62,-0.14
13,2005-10-21,59.57,-0.65
14,2005-10-20,60.62,-3.23
1,2005-11-28,55.67,-0.59
2,2005-11-24,56.37,0.64
3,2005-11-23,55.07,0.00
4,2005-11-22,55.42,-0.40
5,2005-11-21,55.57,-0.08
6,2005-11-18,55.47,0.27
7,2005-11-17,56.07,-0.23
8,2005-11-16,56.47,-0.43
9,2005-11-15,57.37,0.32
10,2005-11-14,56.67,0.19
11,2005-11-11,56.92,-0.29
12,2005-11-10,57.82,-0.33
13,2005-11-9,58.12,-0.09
1,2005-12-16,55.37,-0.25
2,2005-12-15,55.57,0.13
3,2005-12-14,55.27,0.50
4,2005-12-13,54.57,0.03
5,2005-12-12,55.62,-0.33
6,2005-12-9,55.22,0.00
7,2005-12-8,55.37,0.12
8,2005-12-7,55.12,0.42
9,2005-12-6,54.62,0.30
10,2005-12-5,54.42,-0.19
11,2005-12-2,55.17,-0.25
12,2005-12-1,55.22,0.09
13,2005-11-30,55.12,-0.25
14,2005-11-29,55.12,0.00
1,2006-1-27,58.22,-0.02
2,2006-1-26,58.27,-0.05
3,2006-1-25,58.47,-0.05
4,2006-1-24,58.27,0.61
5,2006-1-23,57.67,0.89
6,2006-1-20,56.47,-0.47
7,2006-1-19,57.62,-0.50
8,2006-1-18,57.62,0.00
9,2006-1-17,57.62,0.34
10,2006-1-16,57.12,0.16
11,2006-1-13,57.12,-0.10
12,2006-1-12,57.27,-0.15
