序号,日期,价格,涨跌,折1%关税,折滑准税
1,2005-8-19,53.67,-0.23,11376,12947
2,2005-8-18,53.90,0.38,11424,12946
3,2005-8-17,53.52,-1.08,11345,12956
4,2005-8-16,54.60,0.12,11570,12954
5,2005-8-15,54.48,-0.75,11545,12949
6,2005-8-12,55.23,-0.50,11701,12953
7,2005-8-11,55.73,0.00,11805,12954
8,2005-8-10,55.73,0.00,11805,12954
9,2005-8-9,55.73,0.06,11805,12954
10,2005-8-8,55.67,0.04,11792,12952
11,2005-8-5,55.63,0.18,11784,12954
12,2005-8-4,55.45,0.07,11747,12947
13,2005-8-3,55.38,0.30,11732,12954
14,2005-8-2,55.08,-0.12,11670,12953
15,2005-8-1,55.20,0.00,11695,12946
1,2005-9-9,58.17,-0.71,12056,12948
2,2005-9-8,58.88,1.05,12200,12949
3,2005-9-7,57.83,1.70,11986,12955
4,2005-9-6,56.13,0.00,11640,12954
5,2005-9-5,56.13,-0.07,11640,12954
6,2005-9-2,56.20,0.05,11654,12947
7,2005-9-1,56.15,-0.60,11644,12947
8,2005-8-31,56.75,1.15,12017,12953
9,2005-8-30,55.60,0.70,11778,12947
10,2005-8-29,54.90,0.25,11632,12956
11,2005-8-26,54.65,-0.35,11580,12955
12,2005-8-25,55.00,-0.23,11653,12946
13,2005-8-24,55.23,0.60,11701,12953
14,2005-8-23,54.63,0.50,11576,12950
15,2005-8-22,54.13,0.46,11472,12956
1,2005-9-29,59.95,-0.20,12419,12951
2,2005-9-28,60.15,2.48,12459,12957
3,2005-9-27,57.67,0.12,11954,12955
4,2005-9-26,57.55,-0.83,11929,12951
5,2005-9-23,58.38,0.05,12099,12947
6,2005-9-22,58.33,1.43,12088,12948
7,2005-9-21,56.90,-1.20,11797,12957
8,2005-9-20,58.10,2.08,12041,12956
9,2005-9-19,56.02,0.25,11618,12951
10,2005-9-16,55.77,-0.48,11567,12951
11,2005-9-15,56.25,0.12,11664,12947
12,2005-9-14,56.13,-1.12,11640,12954
13,2005-9-13,57.25,-0.55,11868,12954
14,2005-9-12,57.80,-0.37,11980,12948
1,2005-10-19,61.05,-1.97,12626,13118
2,2005-10-18,63.02,-0.48,13026,13534
3,2005-10-17,63.50,0.77,13124,13636
4,2005-10-14,62.73,1.00,12967,13473
5,2005-10-13,61.73,0.88,12764,13261
6,2005-10-12,60.85,-0.48,12585,13075
7,2005-10-11,61.33,1.63,12682,13177
8,2005-10-8,59.70,-0.75,12351,12952
9,2005-9-30,60.45,0.50,12520,13008
1,2005-11-8,59.20,-0.18,12252,12956
2,2005-11-7,59.38,-0.32,12289,12947
3,2005-11-4,59.70,-0.22,12354,12955
4,2005-11-3,59.92,0.15,12399,12954
5,2005-11-2,59.77,-0.13,12368,12946
6,2005-11-1,59.90,0.00,12394,12950
7,2005-10-31,59.90,-1.15,12391,12947
8,2005-10-28,61.05,-1.12,12626,13118
9,2005-10-27,62.17,0.47,12853,13355
10,2005-10-26,61.70,0.10,12758,13255
11,2005-10-25,61.60,0.40,12737,13234
12,2005-10-24,61.20,0.10,12656,13149
13,2005-10-21,61.10,-1.07,12636,13128
14,2005-10-20,62.17,1.12,12853,13355
1,2005-11-28,57.77,-0.36,11961,12951
2,2005-11-24,58.13,0.40,12034,12948
3,2005-11-23,57.73,0.48,11953,12953
4,2005-11-22,57.25,-0.25,11855,12951
5,2005-11-21,57.50,-0.10,11906,12949
6,2005-11-18,57.60,-0.30,11926,12948
7,2005-11-17,57.90,-0.20,11987,12956
8,2005-11-16,58.10,-0.60,12028,12953
9,2005-11-15,58.70,0.15,12150,12955
10,2005-11-14,58.55,0.30,12120,12946
11,2005-11-11,58.25,-0.48,12059,12951
12,2005-11-10,58.73,-0.35,12156,12949
13,2005-11-9,59.08,-0.12,12228,12954
1,2005-12-16,58.52,-0.23,12104,12953
2,2005-12-15,58.75,0.02,12151,12955
3,2005-12-14,58.73,0.50,12147,12951
4,2005-12-13,58.23,-0.17,12045,12948
5,2005-12-12,58.40,0.17,12080,12950
6,2005-12-9,58.23,0.06,12045,12948
7,2005-12-8,58.17,0.12,12033,12947
8,2005-12-7,58.05,0.38,12008,12955
9,2005-12-6,57.67,0.34,11931,12953
10,2005-12-5,57.33,-0.27,11862,12947
11,2005-12-2,57.60,-0.03,11917,12949
