序号,日期,价格,涨跌,折1%关税,折滑准税
1,2005-8-19,59.02,-0.53,12490,12977
2,2005-8-18,59.55,0.40,12600,13092
3,2005-8-17,59.15,0.11,12517,13005
4,2005-8-16,59.04,-0.65,12494,12981
5,2005-8-15,59.69,-0.72,12630,13122
6,2005-8-12,60.41,-0.58,12779,13278
7,2005-8-11,60.99,-0.59,12900,13403
8,2005-8-10,61.58,-0.07,13023,13531
9,2005-8-9,61.65,-0.48,13038,13546
10,2005-8-8,62.13,-0.45,13138,13650
11,2005-8-5,62.58,0.09,13231,13747
12,2005-8-4,62.49,-0.46,13213,13728
13,2005-8-3,62.95,0.20,13308,13828
14,2005-8-2,62.75,-0.14,13267,13784
15,2005-8-1,62.89,0.00,13296,13815
1,2005-9-9,62.83,-0.75,13005,13513
2,2005-9-8,63.58,1.06,13158,13672
3,2005-9-7,62.52,1.65,12942,13447
4,2005-9-6,60.87,0.00,12606,13097
5,2005-9-5,60.87,-0.08,12606,13097
6,2005-9-2,60.95,0.08,12622,13114
7,2005-9-1,60.87,-1.02,12606,13097
8,2005-8-31,61.89,1.15,13088,13598
9,2005-8-30,60.74,0.70,12848,13349
10,2005-8-29,60.04,0.32,12702,13198
11,2005-8-26,59.72,-0.34,12636,13128
12,2005-8-25,60.06,-0.32,12707,13202
13,2005-8-24,60.38,0.60,12773,13271
14,2005-8-23,59.78,0.31,12648,13141
15,2005-8-22,59.47,0.45,12584,13074
1,2005-10-19,70.55,2.58,14559,15128
2,2005-10-18,67.97,0.41,14034,14582
3,2005-10-17,67.56,0.64,13950,14495
4,2005-10-14,66.92,0.96,13820,14360
5,2005-10-13,65.96,0.26,13625,14157
6,2005-10-12,65.70,-0.51,13572,14102
7,2005-10-11,66.21,1.55,13676,14209
8,2005-10-8,64.66,-0.75,13360,13881
9,2005-9-30,65.41,0.50,13531,14059
1,2005-11-8,65.30,-0.18,13494,14020
2,2005-11-7,65.48,-0.40,13530,14058
3,2005-11-4,65.88,-0.10,13612,14143
4,2005-11-3,65.98,0.19,13632,14164
5,2005-11-2,65.79,-0.18,13594,14124
6,2005-11-1,65.97,-0.16,13630,14162
7,2005-10-31,66.13,-1.06,13659,14192
8,2005-10-28,67.19,-0.92,13875,14417
9,2005-10-27,68.11,0.73,14062,14611
10,2005-10-26,67.38,0.16,13914,14457
11,2005-10-25,67.22,0.69,13881,14423
12,2005-10-24,66.53,-0.14,13741,14277
